second,Volt,Volt
x,1,2
-1.00000E-03,-13.26947E-03,+26.89227E-03
-999.00E-06,-12.01319E-03,+15.11464E-03
-998.00E-06,-10.63128E-03,+3.88662E-03
-997.00E-06,-9.24937E-03,-7.73398E-03
-996.00E-06,-7.83606E-03,-19.51162E-03
-995.00E-06,-6.45415E-03,-31.05371E-03
-994.00E-06,-5.07224E-03,-42.75283E-03
-993.00E-06,-3.62751E-03,-54.84453E-03
-992.00E-06,-2.40264E-03,-66.70069E-03
-991.00E-06,-1.27198E-03,-77.92871E-03
-990.00E-06,-78.52E-06,-89.39227E-03
-989.00E-06,+1.05214E-03,-100.54177E-03
-988.00E-06,+2.24560E-03,-111.92682E-03
-987.00E-06,+3.43907E-03,-122.91928E-03
-986.00E-06,+4.75817E-03,-134.77544E-03
-985.00E-06,+6.01445E-03,-147.10270E-03
-984.00E-06,+7.05088E-03,-158.95886E-03
-983.00E-06,+8.05590E-03,-170.57946E-03
-982.00E-06,+9.15515E-03,-182.20006E-03
-981.00E-06,+10.28580E-03,-193.03549E-03
-980.00E-06,+11.63631E-03,-204.73461E-03
-979.00E-06,+12.86118E-03,-216.59076E-03
-978.00E-06,+14.08606E-03,-228.36840E-03
-977.00E-06,+15.31093E-03,-239.91049E-03
-976.00E-06,+16.41018E-03,-251.53109E-03
-975.00E-06,+17.63505E-03,-263.07318E-03
-974.00E-06,+18.95415E-03,-274.69378E-03
-973.00E-06,+20.21043E-03,-286.39290E-03
-972.00E-06,+21.49812E-03,-297.93498E-03
-971.00E-06,+22.75440E-03,-309.94818E-03
-970.00E-06,+24.04209E-03,-321.41174E-03
-969.00E-06,+25.10992E-03,-332.79679E-03
-968.00E-06,+26.33480E-03,-344.49591E-03
-967.00E-06,+27.77952E-03,-356.03800E-03
-966.00E-06,+29.00440E-03,-367.73712E-03
-965.00E-06,+30.38631E-03,-379.43624E-03
-964.00E-06,+31.48555E-03,-391.21388E-03
-963.00E-06,+32.67902E-03,-402.75596E-03
-962.00E-06,+33.96671E-03,-414.14101E-03
-961.00E-06,+35.25440E-03,-425.44755E-03
-960.00E-06,+36.51068E-03,-436.28297E-03
-959.00E-06,+37.82977E-03,-447.35395E-03
-958.00E-06,+38.86621E-03,-458.34641E-03
-957.00E-06,+40.02827E-03,-469.73146E-03
-956.00E-06,+41.15892E-03,-480.88096E-03
-955.00E-06,+42.28957E-03,-492.50157E-03
-954.00E-06,+43.48304E-03,-503.96513E-03
-953.00E-06,+44.73932E-03,-515.58574E-03
-952.00E-06,+45.99560E-03,-527.99151E-03
-951.00E-06,+47.15766E-03,-539.76915E-03
-950.00E-06,+48.19409E-03,-551.38976E-03
-949.00E-06,+49.35616E-03,-562.30370E-03
-948.00E-06,+50.48681E-03,-573.21764E-03
-947.00E-06,+51.74309E-03,-584.36714E-03
-946.00E-06,+52.99937E-03,-595.51664E-03
-945.00E-06,+54.25565E-03,-607.13724E-03
-944.00E-06,+55.38631E-03,-618.05119E-03
-943.00E-06,+56.51696E-03,-629.51475E-03
-942.00E-06,+57.71043E-03,-640.50722E-03
-941.00E-06,+58.90389E-03,-651.73523E-03
-940.00E-06,+60.22299E-03,-662.96325E-03
-939.00E-06,+61.47927E-03,-673.48460E-03
-938.00E-06,+62.67274E-03,-684.08448E-03
-937.00E-06,+63.77198E-03,-694.99842E-03
-936.00E-06,+64.77701E-03,-705.75533E-03
-935.00E-06,+65.81344E-03,-716.43372E-03
-934.00E-06,+66.94409E-03,-727.26915E-03
-933.00E-06,+68.20038E-03,-738.18310E-03
-932.00E-06,+69.42525E-03,-748.94000E-03
-931.00E-06,+70.58731E-03,-759.38284E-03
-930.00E-06,+71.68656E-03,-769.90420E-03
-929.00E-06,+72.72299E-03,-780.58259E-03
-928.00E-06,+73.85364E-03,-791.81061E-03
-927.00E-06,+74.92148E-03,-802.48900E-03
-926.00E-06,+76.17776E-03,-813.16739E-03
-925.00E-06,+77.21420E-03,-823.84578E-03
-924.00E-06,+78.43907E-03,-834.13159E-03
-923.00E-06,+79.56972E-03,-844.80998E-03
-922.00E-06,+80.57475E-03,-855.09578E-03
-921.00E-06,+81.67399E-03,-865.30307E-03
-920.00E-06,+82.67902E-03,-875.74591E-03
-919.00E-06,+83.87249E-03,-885.87468E-03
-918.00E-06,+85.12877E-03,-895.84641E-03
-917.00E-06,+86.35364E-03,-906.21073E-03
-916.00E-06,+87.60992E-03,-916.49654E-03
-915.00E-06,+88.80339E-03,-926.31123E-03
-914.00E-06,+89.96545E-03,-936.04741E-03
-913.00E-06,+91.25314E-03,-945.94063E-03
-912.00E-06,+92.38379E-03,-955.99088E-03
-911.00E-06,+93.54585E-03,-966.27669E-03
-910.00E-06,+94.73932E-03,-976.16990E-03
-909.00E-06,+95.74435E-03,-986.69126E-03
-908.00E-06,+96.65515E-03,-996.42744E-03
-907.00E-06,+97.66017E-03,-1.00639917E+00
-906.00E-06,+98.63379E-03,-1.01589980E+00
-905.00E-06,+99.57600E-03,-1.02579302E+00
-904.00E-06,+100.70666E-03,-1.03545068E+00
-903.00E-06,+101.71168E-03,-1.04495131E+00
-902.00E-06,+102.74811E-03,-1.05445194E+00
-901.00E-06,+103.62751E-03,-1.06379553E+00
-900.00E-06,+104.53832E-03,-1.07353171E+00
-899.00E-06,+105.35490E-03,-1.08279678E+00
-898.00E-06,+106.32852E-03,-1.09253297E+00
-897.00E-06,+107.27073E-03,-1.10203359E+00
-896.00E-06,+108.30716E-03,-1.11169126E+00
-895.00E-06,+109.37500E-03,-1.12064226E+00
-894.00E-06,+110.41143E-03,-1.12990734E+00
-893.00E-06,+111.29083E-03,-1.13877982E+00
-892.00E-06,+112.20163E-03,-1.14804490E+00
-891.00E-06,+113.17525E-03,-1.15723146E+00
-890.00E-06,+114.14887E-03,-1.16641802E+00
-889.00E-06,+115.05967E-03,-1.17599716E+00
-888.00E-06,+116.15892E-03,-1.18541927E+00
-887.00E-06,+117.25816E-03,-1.19499842E+00
-886.00E-06,+118.32600E-03,-1.20426349E+00
-885.00E-06,+119.33103E-03,-1.21297894E+00
-884.00E-06,+120.24183E-03,-1.22153736E+00
-883.00E-06,+121.08982E-03,-1.23017430E+00
-882.00E-06,+122.12625E-03,-1.23920382E+00
-881.00E-06,+123.09987E-03,-1.24815482E+00
-880.00E-06,+124.19912E-03,-1.25687028E+00
-879.00E-06,+125.20414E-03,-1.26597832E+00
-878.00E-06,+126.05213E-03,-1.27492932E+00
-877.00E-06,+127.08857E-03,-1.28364477E+00
-876.00E-06,+127.90515E-03,-1.29188912E+00
-875.00E-06,+129.00440E-03,-1.30013347E+00
-874.00E-06,+129.91520E-03,-1.30822078E+00
